subdomain,ip,reverse_dns,scheme,url,status,length,title,content_hash,server_header,ssl_sans,open_ports,banners
www.microsoft.com,23.208.217.225,a23-208-217-225.deploy.static.akamaitechnologies.com,http,http://www.microsoft.com,200,201253,"Your request has been blocked. This could be
                        due to several reasons.",5965b2c5472aaca1cd66ea5b0d07a971b961fee72fc27eb1f6c760042084b21b,AkamaiNetStorage,,"80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 308\r\nExpires: Thu, 10 Jul 2025 18:17:41 GMT\r\nDate: Thu, 10 Jul 2025 18:17:41 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
www.microsoft.com,23.208.217.225,a23-208-217-225.deploy.static.akamaitechnologies.com,https,https://www.microsoft.com,200,201253,"Your request has been blocked. This could be
                        due to several reasons.",5965b2c5472aaca1cd66ea5b0d07a971b961fee72fc27eb1f6c760042084b21b,AkamaiNetStorage,"wwwqa.microsoft.com, www.microsoft.com, staticview.microsoft.com, i.s-microsoft.com, microsoft.com, c.s-microsoft.com, privacy.microsoft.com","80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 308\r\nExpires: Thu, 10 Jul 2025 18:17:41 GMT\r\nDate: Thu, 10 Jul 2025 18:17:41 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
dev.microsoft.com,23.209.254.112,a23-209-254-112.deploy.static.akamaitechnologies.com,http,http://dev.microsoft.com,200,262651,Microsoft Developer,22cf598392e89e558f896ed9c5a708675bcadbfc2babbc4786dba5d00586ceea,Microsoft-IIS/10.0,,"80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 312\r\nExpires: Thu, 10 Jul 2025 18:17:41 GMT\r\nDate: Thu, 10 Jul 2025 18:17:41 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
dev.microsoft.com,23.209.254.112,a23-209-254-112.deploy.static.akamaitechnologies.com,https,https://dev.microsoft.com,200,262651,Microsoft Developer,22cf598392e89e558f896ed9c5a708675bcadbfc2babbc4786dba5d00586ceea,Microsoft-IIS/10.0,"*.developer.microsoft.com, dev.microsoft.com, developer.microsoft.com, developers.microsoft.com","80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 312\r\nExpires: Thu, 10 Jul 2025 18:17:41 GMT\r\nDate: Thu, 10 Jul 2025 18:17:41 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
api.microsoft.com,20.236.44.162,,http,http://api.microsoft.com,200,36710,Microsoft Learn: Build skills that open doors in your career,5d3132d1777c81430132063c5d3530b851f652c14461e20f770086af30f36259,,,"80,443","{""80"": ""HTTP/1.1 500 Internal Server Error\r\nContent-Length: 0\r\nConnection: close\r\nDate: Thu, 10 Jul 2025 18:17:46 GMT\r\nServer: Kestrel\r\n\r\n"", ""443"": """"}"
