domain,subdomain,ip,reverse_dns,scheme,url,status,length,title,content_hash,server_header,ssl_sans,open_ports,banners
facebook.com,beta.facebook.com,57.144.212.136,edge-latest-shv-03-maa3.facebook.com,http,http://beta.facebook.com,200,69999,,5c81fe20ff7dae0753dde4c95b271965bd3a3095ca349c7be686e237b7939bef,,,"80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nLocation: https:///\r\nContent-Type: text/plain\r\nServer: proxygen-bolt\r\nDate: Fri, 11 Jul 2025 12:17:55 GMT\r\nConnection: close\r\nContent-Length: 0\r\n\r\n"", ""443"": ""\u0015\u0003\u0003\u0000\u0002\u00022""}"
facebook.com,beta.facebook.com,57.144.212.136,edge-latest-shv-03-maa3.facebook.com,https,https://beta.facebook.com,200,70003,,7b54a55f9ab2b5f7e11d90868caa81bbba08e9652e2c8010d517fe7f112b0627,,"*.beta.facebook.com, *.beta.messenger.com, *.fb.beta.facebook.com, *.fb.beta.messenger.com, *.fb.m.beta.facebook.com, *.fb.m.beta.messenger.com, *.m.beta.facebook.com, beta.facebook.com, beta.messenger.com, fb.beta.facebook.com, fb.beta.messenger.com, m.beta.facebook.com","80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nLocation: https:///\r\nContent-Type: text/plain\r\nServer: proxygen-bolt\r\nDate: Fri, 11 Jul 2025 12:17:55 GMT\r\nConnection: close\r\nContent-Length: 0\r\n\r\n"", ""443"": ""\u0015\u0003\u0003\u0000\u0002\u00022""}"
facebook.com,www.facebook.com,57.144.208.1,edge-star-mini-shv-01-maa3.facebook.com,http,http://www.facebook.com,200,70000,,c58a4dcea1d000af6407eb2d2fe3f8c96a2b382e53b3ba2324f40d94f87b78ab,,,"80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nLocation: https:///\r\nContent-Type: text/plain\r\nServer: proxygen-bolt\r\nDate: Fri, 11 Jul 2025 12:18:00 GMT\r\nConnection: close\r\nContent-Length: 0\r\n\r\n"", ""443"": ""\u0015\u0003\u0003\u0000\u0002\u00022""}"
facebook.com,www.facebook.com,57.144.208.1,edge-star-mini-shv-01-maa3.facebook.com,https,https://www.facebook.com,200,69999,,eacfc402e6dc8bd9dc24dc2cea13ba3369595cbcaf1a710d2604b5fbfa81f678,,"*.facebook.com, *.facebook.net, *.fbcdn.net, *.fbsbx.com, *.m.facebook.com, *.messenger.com, *.xx.fbcdn.net, *.xy.fbcdn.net, *.xz.fbcdn.net, facebook.com, messenger.com","80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nLocation: https:///\r\nContent-Type: text/plain\r\nServer: proxygen-bolt\r\nDate: Fri, 11 Jul 2025 12:18:00 GMT\r\nConnection: close\r\nContent-Length: 0\r\n\r\n"", ""443"": ""\u0015\u0003\u0003\u0000\u0002\u00022""}"
facebook.com,api.facebook.com,57.144.212.141,edge-star-shv-03-maa3.facebook.com,http,http://api.facebook.com,200,260574,,bc4593d87f613b921a3df66e517620495d2100971e63c77a41887c78ccea3ed8,,,"80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nLocation: https:///\r\nContent-Type: text/plain\r\nServer: proxygen-bolt\r\nDate: Fri, 11 Jul 2025 12:18:00 GMT\r\nConnection: close\r\nContent-Length: 0\r\n\r\n"", ""443"": ""\u0015\u0003\u0003\u0000\u0002\u00022""}"
facebook.com,api.facebook.com,57.144.212.141,edge-star-shv-03-maa3.facebook.com,https,https://api.facebook.com,200,260572,,46c392fe967d99966434e2d84d87fe231a160e25b392581b1485e68d11850d34,,"*.facebook.com, *.facebook.net, *.fbcdn.net, *.fbsbx.com, *.m.facebook.com, *.messenger.com, *.xx.fbcdn.net, *.xy.fbcdn.net, *.xz.fbcdn.net, facebook.com, messenger.com","80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nLocation: https:///\r\nContent-Type: text/plain\r\nServer: proxygen-bolt\r\nDate: Fri, 11 Jul 2025 12:18:00 GMT\r\nConnection: close\r\nContent-Length: 0\r\n\r\n"", ""443"": ""\u0015\u0003\u0003\u0000\u0002\u00022""}"
