domain,subdomain,ip,reverse_dns,scheme,url,status,length,title,content_hash,server_header,ssl_sans,open_ports,banners
apple.com,www.apple.com,23.221.53.96,a23-221-53-96.deploy.static.akamaitechnologies.com,http,http://www.apple.com,200,194568,Apple,9de72bf6d2a8c696650a0fc826c97806f95da5d4bee0cd8bc6b9dc306fb52195,Apple,,"80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 310\r\nExpires: Fri, 11 Jul 2025 12:22:25 GMT\r\nDate: Fri, 11 Jul 2025 12:22:25 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
apple.com,www.apple.com,23.221.53.96,a23-221-53-96.deploy.static.akamaitechnologies.com,https,https://www.apple.com,200,194568,Apple,9de72bf6d2a8c696650a0fc826c97806f95da5d4bee0cd8bc6b9dc306fb52195,Apple,"images.apple.com, www.apple.com.cn, www.apple.com","80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 310\r\nExpires: Fri, 11 Jul 2025 12:22:25 GMT\r\nDate: Fri, 11 Jul 2025 12:22:25 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
apple.com,beta.apple.com,17.137.184.173,,http,http://beta.apple.com,200,11472,Apple Beta,9a6a427b82670c05ef59cc29030d71a3d8f564170e483ccaf6843528ba6dd3da,Apple,,"80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nServer: Apple\r\nDate: Fri, 11 Jul 2025 12:22:25 GMT\r\nContent-Type: text/html\r\nContent-Length: 162\r\nConnection: close\r\nLocation: https://beta.apple.com/\r\n\r\n"", ""443"": ""HTTP/1.1 400 Bad Request\r\nServer: Apple\r\nDate: Fri, 11 Jul 2025 12:22:26 GMT\r\nContent-Type: text/html\r\nContent-Length: 248\r\nConnection: close\r\nCache-Control: private, no-cache, no-store, max-age=0\r\nStrict-Transport-Security: max-age=31536000; includeSubdomains\r\nX-Frame-Options: SAMEORIGIN\r\nX-Content-Type-Options: nosniff\r\nX-XSS-Protection: 1; mode=block\r\n\r\n""}"
apple.com,beta.apple.com,17.137.184.173,,https,https://beta.apple.com,200,11472,Apple Beta,55182051839b29f73c74dea87d6ca56e64f64b3c74d282ae424d8e2468655ed0,Apple,beta.apple.com,"80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nServer: Apple\r\nDate: Fri, 11 Jul 2025 12:22:25 GMT\r\nContent-Type: text/html\r\nContent-Length: 162\r\nConnection: close\r\nLocation: https://beta.apple.com/\r\n\r\n"", ""443"": ""HTTP/1.1 400 Bad Request\r\nServer: Apple\r\nDate: Fri, 11 Jul 2025 12:22:26 GMT\r\nContent-Type: text/html\r\nContent-Length: 248\r\nConnection: close\r\nCache-Control: private, no-cache, no-store, max-age=0\r\nStrict-Transport-Security: max-age=31536000; includeSubdomains\r\nX-Frame-Options: SAMEORIGIN\r\nX-Content-Type-Options: nosniff\r\nX-XSS-Protection: 1; mode=block\r\n\r\n""}"
