domain,subdomain,ip,reverse_dns,scheme,url,status,length,title,content_hash,server_header,ssl_sans,open_ports,banners
instagram.com,api.instagram.com,57.144.208.192,instagram-p3-shv-01-maa3.fbcdn.net,http,http://api.instagram.com,404,21130,Page Not Found &bull; Instagram,92e5deb734a559eca3171f487e3dda7f2a19cfabe51ce94e8ebbd15fbe6cd719,,,"80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nLocation: https:///\r\nContent-Type: text/plain\r\nServer: proxygen-bolt\r\nDate: Fri, 11 Jul 2025 12:23:15 GMT\r\nConnection: close\r\nContent-Length: 0\r\n\r\n"", ""443"": ""\u0015\u0003\u0003\u0000\u0002\u00022""}"
instagram.com,www.instagram.com,57.144.208.34,instagram-p42-shv-01-maa3.fbcdn.net,http,http://www.instagram.com,200,432563,Instagram,c5abe78771673c7e25fef9bc128c852bf99dbad89b43f6673e0ea1086f9557e5,,,"80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nLocation: https:///\r\nContent-Type: text/plain\r\nServer: proxygen-bolt\r\nDate: Fri, 11 Jul 2025 12:23:15 GMT\r\nConnection: close\r\nContent-Length: 0\r\n\r\n"", ""443"": ""\u0015\u0003\u0003\u0000\u0002\u00022""}"
instagram.com,api.instagram.com,57.144.208.192,instagram-p3-shv-01-maa3.fbcdn.net,https,https://api.instagram.com,404,21130,Page Not Found &bull; Instagram,92e5deb734a559eca3171f487e3dda7f2a19cfabe51ce94e8ebbd15fbe6cd719,,"*.instagram.com, *.cdninstagram.com, *.igsonar.com, cdninstagram.com, igsonar.com, instagram.com","80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nLocation: https:///\r\nContent-Type: text/plain\r\nServer: proxygen-bolt\r\nDate: Fri, 11 Jul 2025 12:23:15 GMT\r\nConnection: close\r\nContent-Length: 0\r\n\r\n"", ""443"": ""\u0015\u0003\u0003\u0000\u0002\u00022""}"
instagram.com,www.instagram.com,57.144.208.34,instagram-p42-shv-01-maa3.fbcdn.net,https,https://www.instagram.com,200,432391,Instagram,8b6b6f97878337cf5524a699b2e2c5d0838a5cd3aa819d7b495548fa28e000bd,,"*.www.instagram.com, www.instagram.com","80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nLocation: https:///\r\nContent-Type: text/plain\r\nServer: proxygen-bolt\r\nDate: Fri, 11 Jul 2025 12:23:15 GMT\r\nConnection: close\r\nContent-Length: 0\r\n\r\n"", ""443"": ""\u0015\u0003\u0003\u0000\u0002\u00022""}"
