domain,subdomain,ip,reverse_dns,scheme,url,status,length,title,content_hash,server_header,ssl_sans,open_ports,banners
akamaiedge.net,n2dspb.akamaiedge.net,23.212.254.238,a23-212-254-238.deploy.static.akamaitechnologies.com,http,http://n2dspb.akamaiedge.net,400,310,,d392aea3a6f226442f4b2b33a270e2e5f5af15665263083098427814681eb33f,AkamaiGHost,,"80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 310\r\nExpires: Fri, 11 Jul 2025 12:24:57 GMT\r\nDate: Fri, 11 Jul 2025 12:24:57 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
akamaiedge.net,n2dsce2.akamaiedge.net,23.212.254.238,a23-212-254-238.deploy.static.akamaitechnologies.com,http,http://n2dsce2.akamaiedge.net,400,310,,ccdaf15fd6b82648bd2468adba863a63a51dd7eea21fe2ddf11c914a7a5ff6b8,AkamaiGHost,,"80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 310\r\nExpires: Fri, 11 Jul 2025 12:24:58 GMT\r\nDate: Fri, 11 Jul 2025 12:24:58 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
akamaiedge.net,n2ksd.akamaiedge.net,23.212.254.238,a23-212-254-238.deploy.static.akamaitechnologies.com,http,http://n2ksd.akamaiedge.net,400,310,,84ad906ce565d6cf8a5802957b5640fd57a32d5c63fe7a2984d3042bbd584b7e,AkamaiGHost,,"80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 310\r\nExpires: Fri, 11 Jul 2025 12:24:58 GMT\r\nDate: Fri, 11 Jul 2025 12:24:58 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
akamaiedge.net,n2dscx.akamaiedge.net,23.212.254.238,a23-212-254-238.deploy.static.akamaitechnologies.com,http,http://n2dscx.akamaiedge.net,400,310,,cdfab94b069ff17c27d24eb9e536ec64d0350a26c63b1cce44600e9a575032a5,AkamaiGHost,,"80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 310\r\nExpires: Fri, 11 Jul 2025 12:24:58 GMT\r\nDate: Fri, 11 Jul 2025 12:24:58 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
akamaiedge.net,n2d.akamaiedge.net,23.212.254.238,a23-212-254-238.deploy.static.akamaitechnologies.com,http,http://n2d.akamaiedge.net,400,310,,16535251eb114cf4cfc80141346ff205f8c546dd95ba66296314b9b05c1a9fc1,AkamaiGHost,,"80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 310\r\nExpires: Fri, 11 Jul 2025 12:24:58 GMT\r\nDate: Fri, 11 Jul 2025 12:24:58 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
akamaiedge.net,n1dspg.akamaiedge.net,23.212.254.78,a23-212-254-78.deploy.static.akamaitechnologies.com,http,http://n1dspg.akamaiedge.net,400,312,,831ff22d01adf4d85b6a0d684a5bc0b461d114609b0b9e338cd6b3b85871801c,AkamaiGHost,,"80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 312\r\nExpires: Fri, 11 Jul 2025 12:24:53 GMT\r\nDate: Fri, 11 Jul 2025 12:24:53 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
akamaiedge.net,n1ksd.akamaiedge.net,23.212.254.78,a23-212-254-78.deploy.static.akamaitechnologies.com,http,http://n1ksd.akamaiedge.net,400,312,,b7cd740ce100091f60df06203273a9c5ebc85e9631ff2c13b739dbaa6d2a8993,AkamaiGHost,,"80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 312\r\nExpires: Fri, 11 Jul 2025 12:24:53 GMT\r\nDate: Fri, 11 Jul 2025 12:24:53 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
akamaiedge.net,n3dscg.akamaiedge.net,23.212.254.12,a23-212-254-12.deploy.static.akamaitechnologies.com,http,http://n3dscg.akamaiedge.net,400,310,,457b24160a02fb1c0a484a88a6a074734037c7c315fb7befcd8cbb986202ac1e,AkamaiGHost,,"80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 310\r\nExpires: Fri, 11 Jul 2025 12:24:53 GMT\r\nDate: Fri, 11 Jul 2025 12:24:53 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
akamaiedge.net,n1dscb.akamaiedge.net,23.212.254.78,a23-212-254-78.deploy.static.akamaitechnologies.com,http,http://n1dscb.akamaiedge.net,400,312,,3455f86f5830f8506daea2df76622d0f879407de7046516b8a4586ca2779309e,AkamaiGHost,,"80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 312\r\nExpires: Fri, 11 Jul 2025 12:24:53 GMT\r\nDate: Fri, 11 Jul 2025 12:24:53 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
akamaiedge.net,n3x.akamaiedge.net,23.212.254.12,a23-212-254-12.deploy.static.akamaitechnologies.com,http,http://n3x.akamaiedge.net,400,310,,a7f805828a84d6f8c61d801987c5fef31c965ec2fe54f149d850828b691eca96,AkamaiGHost,,"80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 310\r\nExpires: Fri, 11 Jul 2025 12:24:53 GMT\r\nDate: Fri, 11 Jul 2025 12:24:53 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
akamaiedge.net,n1dspb.akamaiedge.net,23.212.254.78,a23-212-254-78.deploy.static.akamaitechnologies.com,http,http://n1dspb.akamaiedge.net,400,312,,fac92a5720ddb28ce11f06c501f1ccb66c0c2889a9e4b31ec61e9741a538733c,AkamaiGHost,,"80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 312\r\nExpires: Fri, 11 Jul 2025 12:24:53 GMT\r\nDate: Fri, 11 Jul 2025 12:24:53 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
akamaiedge.net,n1x.akamaiedge.net,23.212.254.78,a23-212-254-78.deploy.static.akamaitechnologies.com,http,http://n1x.akamaiedge.net,400,312,,cb0ea04bf495e2a9ab018439b508b1b2c34f89807eed2090e8294ee53b888518,AkamaiGHost,,"80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 312\r\nExpires: Fri, 11 Jul 2025 12:24:53 GMT\r\nDate: Fri, 11 Jul 2025 12:24:53 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
akamaiedge.net,n3c.akamaiedge.net,23.212.254.12,a23-212-254-12.deploy.static.akamaitechnologies.com,http,http://n3c.akamaiedge.net,400,310,,8c4710bbbb634087c4414112f7e22b99e0ad0533cb34facd0aab63972e5cc2ee,AkamaiGHost,,"80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 310\r\nExpires: Fri, 11 Jul 2025 12:24:53 GMT\r\nDate: Fri, 11 Jul 2025 12:24:53 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
akamaiedge.net,n1g.akamaiedge.net,23.212.254.78,a23-212-254-78.deploy.static.akamaitechnologies.com,http,http://n1g.akamaiedge.net,400,312,,3fde26b4371d8d061f7792470cea664ee83378ee719ba0192bbaddd89a9da4f5,AkamaiGHost,,"80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 312\r\nExpires: Fri, 11 Jul 2025 12:24:53 GMT\r\nDate: Fri, 11 Jul 2025 12:24:53 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
akamaiedge.net,n1dscg.akamaiedge.net,23.212.254.78,a23-212-254-78.deploy.static.akamaitechnologies.com,http,http://n1dscg.akamaiedge.net,400,312,,1faa67d9af1e6c9722e3edc719a24d58c09f0b70a872ee40167b4aae738d70d8,AkamaiGHost,,"80,443","{""80"": ""HTTP/1.0 400 Bad Request\r\nServer: AkamaiGHost\r\nMime-Version: 1.0\r\nContent-Type: text/html\r\nContent-Length: 312\r\nExpires: Fri, 11 Jul 2025 12:24:53 GMT\r\nDate: Fri, 11 Jul 2025 12:24:53 GMT\r\nConnection: close\r\n\r\n"", ""443"": null}"
