domain,subdomain,ip,reverse_dns,scheme,url,status,length,title,content_hash,server_header,ssl_sans,open_ports,banners
facebook.com,www.facebook.com,57.144.212.1,edge-star-mini-shv-03-maa3.facebook.com,http,http://www.facebook.com,200,70000,,2be641fdb9cd05358089dd245ed147a3497203b9bd34b2ce916f6230b729b8fe,,,"80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nLocation: https:///\r\nContent-Type: text/plain\r\nServer: proxygen-bolt\r\nDate: Fri, 11 Jul 2025 13:04:28 GMT\r\nConnection: close\r\nContent-Length: 0\r\n\r\n"", ""443"": ""\u0015\u0003\u0003\u0000\u0002\u00022""}"
facebook.com,www.facebook.com,57.144.212.1,edge-star-mini-shv-03-maa3.facebook.com,https,https://www.facebook.com,200,70002,,c5acf0550f4d9ecc6d1af40e1d9571dd86b551469da9bf737d386587dcabd0f2,,"*.facebook.com, *.facebook.net, *.fbcdn.net, *.fbsbx.com, *.m.facebook.com, *.messenger.com, *.xx.fbcdn.net, *.xy.fbcdn.net, *.xz.fbcdn.net, facebook.com, messenger.com","80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nLocation: https:///\r\nContent-Type: text/plain\r\nServer: proxygen-bolt\r\nDate: Fri, 11 Jul 2025 13:04:28 GMT\r\nConnection: close\r\nContent-Length: 0\r\n\r\n"", ""443"": ""\u0015\u0003\u0003\u0000\u0002\u00022""}"
facebook.com,beta.facebook.com,57.144.208.136,edge-latest-shv-01-maa3.facebook.com,http,http://beta.facebook.com,200,69999,,4061ec4949a6fd7c22e442440b940dd527bdfac93f260bca37c00357aecb899a,,,"80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nLocation: https:///\r\nContent-Type: text/plain\r\nServer: proxygen-bolt\r\nDate: Fri, 11 Jul 2025 13:04:28 GMT\r\nConnection: close\r\nContent-Length: 0\r\n\r\n"", ""443"": ""\u0015\u0003\u0003\u0000\u0002\u00022""}"
facebook.com,beta.facebook.com,57.144.208.136,edge-latest-shv-01-maa3.facebook.com,https,https://beta.facebook.com,200,69994,,a34b60cd6dc45a41b9dd1e423ec35e5717fb282292bba76249a618ae073792b5,,"*.beta.facebook.com, *.beta.messenger.com, *.fb.beta.facebook.com, *.fb.beta.messenger.com, *.fb.m.beta.facebook.com, *.fb.m.beta.messenger.com, *.m.beta.facebook.com, beta.facebook.com, beta.messenger.com, fb.beta.facebook.com, fb.beta.messenger.com, m.beta.facebook.com","80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nLocation: https:///\r\nContent-Type: text/plain\r\nServer: proxygen-bolt\r\nDate: Fri, 11 Jul 2025 13:04:28 GMT\r\nConnection: close\r\nContent-Length: 0\r\n\r\n"", ""443"": ""\u0015\u0003\u0003\u0000\u0002\u00022""}"
facebook.com,api.facebook.com,57.144.212.141,edge-star-shv-03-maa3.facebook.com,http,http://api.facebook.com,200,260565,,cfa6985e97d4e4088764b0bfc6a04463d7b7d6bea41599453215cdc2e55553df,,,"80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nLocation: https:///\r\nContent-Type: text/plain\r\nServer: proxygen-bolt\r\nDate: Fri, 11 Jul 2025 13:04:28 GMT\r\nConnection: close\r\nContent-Length: 0\r\n\r\n"", ""443"": ""\u0015\u0003\u0003\u0000\u0002\u00022""}"
facebook.com,api.facebook.com,57.144.212.141,edge-star-shv-03-maa3.facebook.com,https,https://api.facebook.com,200,260559,,1e458c8bfe5210d217827207300928274cf66fe45928485686e1104d7adf5f07,,"*.facebook.com, *.facebook.net, *.fbcdn.net, *.fbsbx.com, *.m.facebook.com, *.messenger.com, *.xx.fbcdn.net, *.xy.fbcdn.net, *.xz.fbcdn.net, facebook.com, messenger.com","80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nLocation: https:///\r\nContent-Type: text/plain\r\nServer: proxygen-bolt\r\nDate: Fri, 11 Jul 2025 13:04:28 GMT\r\nConnection: close\r\nContent-Length: 0\r\n\r\n"", ""443"": ""\u0015\u0003\u0003\u0000\u0002\u00022""}"
